tmdb_id,imdb_id,title,release_year,genres,budget,box_office_revenue,vote_average,vote_count
674727,tt0393135,Magnicidio: Complot en Lomas Taurinas,2002,"Action, Crime",0,0,5.4,5
670076,tt0477445,The Collector,2002,Documentary,0,0,5.7,12
665283,,F.F.F.,2002,"Crime, Romance",0,0,6.2,9
643903,tt0479678,El hijo de Juan Charrasquedo,2002,Not found,0,0,5.2,5
623907,tt0331885,Bernardo Bertolucci: What Is the Purpose of Cinema?,2002,Documentary,0,0,6.3,6
622231,,The Making of 'The Fellowship of the Ring',2002,Documentary,0,0,8.8,12
621365,tt1098210,Ivan the Fool,2002,Science Fiction,0,0,4.5,6
621241,,All The Saints,2002,Not found,0,0,6.6,5
609737,tt0314073,The 1st 13th Annual Fancy Anvil Awards Show Program Special: Live in Stereo,2002,"Animation, Family, Comedy",0,0,10.0,41
600966,,Stan Brakhage Exits the Cinema and Enters the Light of Day,2002,Documentary,0,0,7.6,5
591799,tt0352613,Naked Betrayal,2002,Thriller,0,0,4.6,5
590448,tt0336535,Hidden,2002,"Documentary, Animation",0,0,5.6,6
583254,tt7587454,Qarqacha: The Demon of Incest,2002,Horror,0,0,3.667,6
571336,tt0846790,Sir Gawain and the Green Knight,2002,"Animation, Fantasy, Adventure",324786,0,6.0,5
569938,tt0357340,www.anukudumbam.com,2002,"Comedy, Drama",0,0,5.4,5
569031,tt0356970,Oomappenninu Uriyadappayyan,2002,"Romance, Drama",0,0,5.3,5
565985,tt0347626,The N.Y. Friars Club Roast of Chevy Chase,2002,"Comedy, TV Movie",0,0,5.1,10
562898,tt0263017,A Game of Cat and Mouse,2002,Comedy,0,0,8.0,8
559421,tt4455240,Dawn of Kesha the Parrot,2002,Animation,0,0,5.5,6
552764,tt0338151,The State of the Dead,2002,"Crime, Drama",0,0,5.714,7
544218,tt13324520,Kamen Rider Ryuki Special: 13 Riders,2002,"Action, Fantasy, Science Fiction",0,0,7.6,7
542643,tt15543902,I Lunes e la sfera di Lasifer,2002,Animation,0,0,6.1,32
542226,tt0392468,Las Muertas de Juárez,2002,"Crime, Action, Drama, Thriller",0,0,5.2,6
541587,,Steps,2002,Documentary,0,0,5.4,8
534481,tt0293929,Silent Cry,2002,"Thriller, Mystery",0,0,2.8,5
532765,tt0947024,What's Going on?,2002,Comedy,0,0,5.0,5
529545,tt0308290,Beauty and the Breast,2002,Comedy,0,0,3.0,6
528450,tt0360012,Spider-Man: The Mythology of the 21st Century,2002,Documentary,0,0,6.8,16
524086,tt8021748,The Pig Walks,2002,"Animation, Horror",0,0,4.559,17
524084,tt8021348,The Disc of Sorrow Is Installed,2002,Comedy,0,0,6.25,8
524083,tt8021642,Dead Mouse with Ants,2002,Documentary,0,0,4.4,9
523532,tt0307906,800 Km De Différence - Romance,2002,Documentary,0,0,5.6,8
519451,tt7137672,Tango a Nightingale,2002,"Drama, Music",0,0,6.0,5
516917,tt1718951,Von der Hingabe,2002,Not found,0,0,3.0,5
515834,tt0415076,Jackie Brown: How It Went Down,2002,Documentary,0,0,7.7,16
515734,tt0340124,Gaydar,2002,Comedy,0,0,4.4,8
510218,tt0470772,Walking With Dinosaurs Special: The Giant Claw,2002,"Documentary, TV Movie",0,0,6.9,9
507022,tt1415212,Comedy,2002,"Drama, Fantasy, History, War, Animation",0,0,7.0,15
506332,tt0352409,Hope Along the Wind: The Story of Harry Hay,2002,Documentary,0,0,4.0,5
505053,tt0153012,The Thief & the Stripper,2002,"Crime, Thriller",0,0,3.8,5
503939,tt0356733,In einer Nacht wie dieser,2002,Not found,0,0,4.4,5
503070,tt0334567,Udělení milosti se zamítá,2002,"Drama, TV Movie",0,0,5.4,5
501759,tt0316169,Let's Love Hong Kong,2002,Not found,0,0,2.917,6
501417,tt0347974,Selma & Sofie,2002,"Drama, Romance",0,0,4.75,8
498585,tt0326858,Porn.com,2002,Not found,0,0,4.1,8
498351,tt0345468,Just Call Me Kade,2002,Not found,0,0,4.333,6
493426,tt0344529,Virgin People 3,2002,Drama,0,0,6.688,8
492673,tt4337928,Industrial Soundscape,2002,"Animation, Music",0,0,5.6,15
485818,tt0309452,The Circuit,2002,"Drama, Action",0,0,4.8,6
481173,tt0301325,La fe del volcán,2002,Drama,10000,0,5.4,5
478401,tt0323836,Rosa la China,2002,Not found,0,0,3.8,5
471156,tt0404015,In the Name of the Father,2002,Drama,0,0,4.773,11
470638,tt0379497,The Last Supper,2002,"Drama, Romance",0,0,5.6,5
468191,tt0319122,Bumping Heads,2002,"Romance, Drama",0,0,3.889,9
468158,tt0423870,Blow,2002,Drama,0,0,4.143,7
467072,tt0372001,The Future Is Not What It Used to Be,2002,Documentary,0,0,6.7,9
465800,tt0331563,The Making of 'Jackass: The Movie',2002,Documentary,0,0,7.0,6
465789,tt6953854,Pierre and Sonny Jim,2002,"Comedy, Animation",0,0,4.4,12
464538,tt0364028,Stolen Sex Tapes,2002,"TV Movie, Thriller",0,0,3.3,7
464198,tt0997083,One Piece: Dream Soccer King!,2002,"Fantasy, Comedy, Animation",0,0,6.618,38
463992,tt0338045,Francesco,2002,"History, TV Movie",0,0,5.6,15
462533,tt0790740,Reverend Billy and the Church of Stop Shopping,2002,Documentary,0,0,5.0,5
461435,tt0348048,Sky Lovers,2002,"Drama, Romance",0,0,6.0,5
460631,tt3333182,Tribute to Zgougou the Cat,2002,Documentary,0,0,6.9,16
460162,tt0412484,La barbichette,2002,Comedy,0,0,7.4,11
