title,release_date,budget,revenue,runtime,genres,release_year,title_clean,film,year_film,oscar_nominations,oscar_wins,oscar_nominated,oscar_won
Die Todesautomatik,2007-11-26,0.0,0.0,90.0,['Drama'],2007,die todesautomatik,,,0.0,0.0,False,False
Alvin and the Chipmunks,2007-12-13,60000000.0,361366633.0,92.0,"['Comedy', 'Family', 'Fantasy', 'Animation']",2007,alvin and the chipmunks,,,0.0,0.0,False,False
Long Pigs,2007-10-06,250000.0,0.0,81.0,"['Crime', 'Horror']",2007,long pigs,,,0.0,0.0,False,False
Planet Terror,2007-04-06,23000000.0,11446172.0,105.0,"['Horror', 'Action', 'Thriller']",2007,planet terror,,,0.0,0.0,False,False
The Mystery of Sintra,2007-05-03,0.0,0.0,98.0,['Mystery'],2007,the mystery of sintra,,,0.0,0.0,False,False
Influence and Controversy: Making 'Performance',2007-02-13,0.0,0.0,28.0,['Documentary'],2007,influence and controversy making performance,,,0.0,0.0,False,False
Stardust,2007-08-10,70000000.0,137500000.0,127.0,"['Adventure', 'Fantasy', 'Romance', 'Family']",2007,stardust,,,0.0,0.0,False,False
Die Gipfelstürmerin,2007-04-26,0.0,0.0,0.0,['Comedy'],2007,die gipfelstrmerin,,,0.0,0.0,False,False
Afrodite Superstar,2007-03-09,0.0,0.0,70.0,[],2007,afrodite superstar,,,0.0,0.0,False,False
The Man from Earth,2007-06-10,200000.0,0.0,87.0,"['Science Fiction', 'Drama']",2007,the man from earth,,,0.0,0.0,False,False
Thee Nagar,2007-07-27,0.0,0.0,0.0,[],2007,thee nagar,,,0.0,0.0,False,False
Juno,2007-12-05,7500000.0,232372681.0,96.0,"['Comedy', 'Drama', 'Romance']",2007,juno,Juno,2007.0,4.0,1.0,True,True
Death Sentence,2007-08-31,20000000.0,16974459.0,105.0,"['Action', 'Crime', 'Drama', 'Thriller']",2007,death sentence,,,0.0,0.0,False,False
Naruto Shippuden the Movie,2007-08-04,0.0,13219807.0,94.0,"['Animation', 'Action', 'Fantasy']",2007,naruto shippuden the movie,,,0.0,0.0,False,False
Death Proof,2007-05-22,25000000.0,31126421.0,113.0,"['Action', 'Thriller']",2007,death proof,,,0.0,0.0,False,False
Big Stan,2007-11-03,7500000.0,8742330.0,109.0,"['Comedy', 'Crime']",2007,big stan,,,0.0,0.0,False,False
War,2007-08-24,25000000.0,40452643.0,103.0,"['Action', 'Crime', 'Thriller']",2007,war,,,0.0,0.0,False,False
Surf's Up,2007-06-08,85000000.0,149000000.0,85.0,"['Animation', 'Comedy', 'Family']",2007,surfs up,Surf's Up,2007.0,1.0,0.0,True,False
Risk,2007-01-18,0.0,0.0,0.0,['Action'],2007,risk,,,0.0,0.0,False,False
Lera,2007-06-06,0.0,0.0,97.0,"['Romance', 'Drama']",2007,lera,,,0.0,0.0,False,False
