ID;title;rating;release_date;original_language;IMDb_ID;genre;plot;box_office_domestic;box_office_worldwide;extracted_plotpoints;Used_Plotphrases;Best_Match_Phrase;Similarity_Score
116;The Purge: Anarchy;6.628;2014-07-17;en;tt2975578;Action, Horror, Sci-Fi;A couple are driving home when their car breaks down just as the Purge commences. Meanwhile, a police sergeant goes out into the streets to get revenge on the man who killed his son, and a mother and daughter run from their home after assailants destroy it. The five people meet up as they attempt to survive the night in Los Angeles.;$71,962,800;111928365;['purge commences police', 'streets revenge', 'run home assailants', 'revenge man killed', 'home assailants destroy', 'goes streets revenge', 'streets revenge man', 'killed son mother', 'killed son', 'police sergeant goes', 'run home', 'man killed son', 'home assailants', 'purge commences', 'assailants destroy people', 'destroy people meet', 'driving home', 'assailants destroy', 'daughter run home', 'sergeant goes streets', 'survive night los', 'man killed', 'couple driving home', 'revenge man', 'commences police', 'night los angeles', 'destroy people', 'police sergeant', 'commences police sergeant', 'night los', 'just purge commences', 'goes streets', 'sergeant goes', 'home car', 'breaks just purge', 'driving home car', 'home car breaks', 'car breaks', 'people meet attempt', 'just purge', 'car breaks just', 'survive night', 'couple driving', 'attempt survive night', 'son mother daughter', 'meet attempt survive', 'mother daughter run', 'people meet', 'los angeles', 'son mother', 'daughter run', 'attempt survive', 'mother daughter', 'meet attempt', 'breaks just'];False;survive night;0.43117469549179077
117;10 Cloverfield Lane;6.999;2016-03-10;en;tt1179933;Drama, Horror, Sci-Fi;"After getting in a car accident, Michelle awakens to find herself in a mysterious bunker with two men named Howard and Emmett. Howard offers her a pair of crutches to help her remain mobile with her leg injury sustained from the car crash and tells her to ""get good on those"" before leaving the bunker. She has been given the information that there has been an alien attack and the outside world is poisoned. However, Howard and Emmett's intentions soon become questionable and Michelle is faced with a question: Is it better in here or out there?";$72,082,998;110216998;['michelle faced question', 'questionable michelle', 'accident michelle', 'accident michelle awakens', 'car accident michelle', 'soon questionable michelle', 'questionable michelle faced', 'michelle awakens mysterious', 'michelle faced', 'michelle awakens', 'poisoned howard emmett', 'howard emmett intentions', 'poisoned howard', 'world poisoned howard', 'howard emmett', 'howard emmett howard', 'alien attack outside', 'emmett howard', 'emmett intentions soon', 'outside world poisoned', 'emmett intentions', 'emmett howard offers', 'named howard emmett', 'alien attack', 'car accident', 'good leaving bunker', 'leaving bunker', 'world poisoned', 'question better', 'information alien', 'crash tells good', 'outside world', 'car crash tells', 'getting car accident', 'leaving bunker given', 'given information alien', 'leg injury', 'mysterious bunker', 'tells good', 'crutches help remain', 'mobile leg injury', 'information alien attack', 'named howard', 'injury sustained', 'injury sustained car', 'sustained car crash', 'car crash', 'pair crutches', 'attack outside', 'howard offers pair', 'awakens mysterious bunker', 'tells good leaving', 'faced question better', 'bunker men', 'mysterious bunker men', 'attack outside world', 'crash tells', 'bunker given', 'howard offers', 'intentions soon questionable', 'men named howard', 'good leaving', 'remain mobile leg', 'awakens mysterious', 'soon questionable', 'mobile leg', 'sustained car', 'bunker given information', 'offers pair crutches', 'help remain', 'help remain mobile', 'getting car', 'remain mobile', 'given information', 'men named'];False;mysterious illness;0.3598814606666565
118;The Amityville Horror;6.117;2005-04-14;en;tt0384806;Horror;In December 1975, George and Kathy Lutz along with their three children move into an elegant Long Island house. What they don't know is that the house was the site of a horrific mass murder a year before. They decide to keep the house and attempt to keep the horror in the past, but are now haunted by a murderous presence. This is until, George starts to behave weirdly and their daughter, Chelsea starts to see people. What follows is 28 days of sheer, unbridled terror for the family with demonic visions of the dead. Based on the true story of George and Kathy Lutz, The Amityville Horror remains one of the most horrifying haunted house stories ever told - because it actually happened.;$65,233,369;107516369;['lutz amityville horror', 'amityville horror remains', 'amityville horror', 'horrifying haunted house', 'haunted house stories', 'story george kathy', 'remains horrifying haunted', 'haunted house', 'horrifying haunted', 'george kathy lutz', 'murderous presence george', 'haunted murderous presence', 'horror remains horrifying', 'horror past haunted', 'kathy lutz amityville', 'house attempt horror', 'lutz amityville', 'past haunted murderous', 'house stories', 'kathy lutz children', 'haunted murderous', 'long island house', 'horror remains', 'horror past', 'house stories told', 'george kathy', '1975 george kathy', 'story george', 'house site horrific', 'past haunted', 'weirdly daughter chelsea', 'family demonic visions', 'island house', 'attempt horror past', 'terror family demonic', 'demonic visions dead', 'horrific mass murder', 'true story george', 'unbridled terror family', 'kathy lutz', 'lutz children', 'lutz children elegant', 'family demonic', 'remains horrifying', 'murderous presence', 'year decide house', 'visions dead based', 'island house don', 'presence george', 'daughter chelsea starts', 'house don know', 'december 1975 george', 'decide house attempt', 'george starts', 'elegant long island', 'murder year decide', 'sheer unbridled terror', 'weirdly daughter', 'children elegant long', 'know house site', 'based true story', 'site horrific mass', 'dead based true', '28 days', 'chelsea starts people', '28 days sheer', 'behave weirdly', 'elegant long', 'starts behave weirdly', 'follows 28', 'true story', 'told actually happened', 'don know', 'people follows', 'sheer unbridled'];False;supernatural events;0.464377760887146
119;The Texas Chainsaw Massacre;6.303;2003-05-21;en;tt0324216;Horror;Driving through the backwoods of Texas, five youths pick up a traumatized hitchhiker, who shoots herself in their van. Shaken by the suicide, the group seeks help from the locals, but their situation becomes even more surreal when they knock on the door of a remote homestead. It's quickly apparent the residents are a family of inbred psychopaths, and the unlucky youths suddenly find themselves running for their lives. In hot pursuit is a disfigured, chainsaw-wielding cannibal known as Leatherface.;$80,571,655;107385515;['driving backwoods texas', 'backwoods texas youths', 'driving backwoods', 'backwoods texas', 'chainsaw wielding cannibal', 'disfigured chainsaw wielding', 'traumatized hitchhiker shoots', 'chainsaw wielding', 'cannibal known leatherface', 'traumatized hitchhiker', 'texas youths', 'pursuit disfigured chainsaw', 'wielding cannibal', 'pick traumatized hitchhiker', 'hitchhiker shoots', 'hot pursuit', 'wielding cannibal known', 'hot pursuit disfigured', 'lives hot pursuit', 'texas youths pick', 'running lives hot', 'psychopaths unlucky youths', 'disfigured chainsaw', 'known leatherface', 'youths pick traumatized', 'hitchhiker shoots van', 'pursuit disfigured', 'unlucky youths', 'psychopaths unlucky', 'youths suddenly', 'running lives', 'cannibal known', 'shoots van', 'youths pick', 'shoots van shaken', 'inbred psychopaths', 'pick traumatized', 'shaken suicide group', 'youths suddenly running', 'unlucky youths suddenly', 'suddenly running lives', 'lives hot', 'inbred psychopaths unlucky', 'homestead quickly', 'homestead quickly apparent', 'suicide group', 'locals situation surreal', 'shaken suicide', 'van shaken suicide', 'suicide group seeks', 'family inbred psychopaths', 'locals situation', 'van shaken', 'surreal knock door', 'suddenly running', 'quickly apparent residents', 'help locals situation', 'apparent residents', 'situation surreal', 'door remote homestead', 'knock door', 'remote homestead quickly', 'quickly apparent', 'seeks help locals', 'help locals', 'group seeks', 'situation surreal knock', 'seeks help', 'family inbred', 'remote homestead', 'surreal knock', 'group seeks help', 'residents family', 'residents family inbred', 'knock door remote'];False;mysterious illness;0.35842424631118774
120;Halloween Ends;6.035;2022-10-12;en;tt10665342;Horror, Mystery, Romance;A cascade of violence and terror forces Laurie Strode to confront the evil she can't control.;$64,079,860;105400796;['laurie strode confront', 'forces laurie strode', 'terror forces laurie', 'laurie strode', 'strode confront evil', 'forces laurie', 'cascade violence terror', 'confront evil control', 'strode confront', 'violence terror', 'confront evil', 'evil control', 'violence terror forces', 'terror forces', 'cascade violence'];False;series disturbing;0.3679288625717163
121;Scary Stories to Tell in the Dark;6.489;2019-08-08;en;tt3387520;Adventure, Horror, Mystery;It's 1968 in America. Change is blowing in the wind...but seemingly far removed from the unrest in the cities is the small town of Mill Valley where for generations, the shadow of the Bellows family has loomed large. It is in their mansion on the edge of town that Sarah, a young girl with horrible secrets, turned her tortured life into a series of scary stories, written in a book that has transcended time-stories that have a way of becoming all too real for a group of teenagers who discover Sarah's terrifying tomb.;$68,947,075;104545505;['shadow bellows family', 'series scary stories', 'shadow bellows', 'generations shadow bellows', 'bellows family loomed', 'sarah terrifying tomb', 'town sarah', 'bellows family', 'scary stories written', 'life series scary', 'town sarah young', 'series scary', 'discover sarah terrifying', 'edge town sarah', 'sarah terrifying', 'valley generations shadow', 'scary stories', 'town valley generations', 'town valley', 'terrifying tomb', '1968 america', 'sarah young girl', '1968 america change', 'sarah young', 'stories written book', 'small town valley', 'generations shadow', 'stories way real', 'teenagers discover sarah', 'edge town', 'blowing wind seemingly', 'valley generations', 'change blowing wind', 'wind seemingly', 'unrest cities', 'turned tortured life', 'america change blowing', 'tortured life series', 'life series', 'mansion edge town', 'discover sarah', 'time stories', 'transcended time stories', 'girl horrible secrets', 'secrets turned tortured', 'blowing wind', 'time stories way', 'change blowing', 'young girl horrible', 'horrible secrets turned', 'stories written', 'cities small town', 'unrest cities small', 'wind seemingly far', 'family loomed large', 'book transcended time', 'horrible secrets', 'secrets turned', 'stories way', 'real group teenagers', 'loomed large mansion', 'mansion edge', 'america change', 'written book', 'written book transcended', 'young girl', 'far removed unrest', 'girl horrible', 'transcended time', 'real group', 'loomed large', 'group teenagers discover', 'seemingly far', 'way real', 'far removed'];False;supernatural events;0.4210655689239502
122;Jigsaw;6.216;2017-10-25;en;tt3348730;Horror, Mystery, Thriller;It has been over a decade since Jigsaw died. However, after a new series of murders occurs, police find themselves chasing after the original Jigsaw Killer - John Kramer. Could John Kramer still be alive or is another killer out there with a different motive?;$38,052,832;104223315;['kramer alive killer', 'killer john kramer', 'john kramer alive', 'jigsaw died new', 'original jigsaw killer', 'jigsaw died', 'jigsaw killer', 'kramer alive', 'jigsaw killer john', 'decade jigsaw died', 'chasing original jigsaw', 'original jigsaw', 'john kramer', 'kramer john', 'kramer john kramer', 'john kramer john', 'alive killer', 'alive killer different', 'killer different motive', 'killer john', 'decade jigsaw', 'killer different', 'murders occurs police', 'new series murders', 'murders occurs', 'series murders occurs', 'series murders', 'died new', 'died new series', 'police chasing original', 'police chasing', 'occurs police chasing', 'chasing original', 'occurs police', 'different motive', 'new series'];False;begins suspect;0.4384152293205261
123;The Cell;6.266;2000-08-18;en;tt0209958;Crime, Horror, Sci-Fi;Catharine Deane is a psychotherapist who is part of a revolutionary new treatment which allows her mind to literally enter the mind of her patients. Her experience in this method takes an unexpected turn when an F.B.I. Agent comes to ask for a desperate favor. They had just tracked down a notorious serial killer, Carl Stargher, whose method of operation is to abduct women one at a time and place them in a secret area where they are kept for about forty hours until they are slowly drowned. Unfortunately, the killer has fallen into an irreversible coma which means he cannot confess where he has taken his latest victim before she dies. Now, Catherine Deane must race against time to explore the twisted mind of the killer to get the information she needs, but Stargher's damaged personality poses dangers that threaten to overwhelm her.;$61,334,059;104155843;['killer carl stargher', 'catharine deane', 'catharine deane psychotherapist', 'dies catherine deane', 'catherine deane', 'victim dies catherine', 'serial killer carl', 'deane psychotherapist', 'catherine deane race', 'stargher damaged personality', 'carl stargher', 'serial killer', 'killer fallen irreversible', 'twisted mind killer', 'carl stargher method', 'notorious serial killer', 'deane psychotherapist revolutionary', 'dies catherine', 'killer fallen', 'killer carl', 'needs stargher', 'killer information', 'unfortunately killer fallen', 'killer information needs', 'drowned unfortunately killer', 'mind killer', 'mind killer information', 'information needs stargher', 'latest victim dies', 'deane race', 'stargher method operation', 'stargher damaged', 'operation abduct women', 'unfortunately killer', 'victim dies', 'fallen irreversible coma', 'operation abduct', 'explore twisted mind', 'notorious serial', 'deane race time', 'tracked notorious serial', 'taken latest victim', 'enter mind patients', 'abduct women time', 'method operation abduct', 'turn agent', 'treatment allows mind', 'psychotherapist revolutionary new', 'confess taken latest', 'agent comes ask', 'revolutionary new treatment', 'time explore twisted', 'treatment allows', 'threaten overwhelm', 'damaged personality poses', 'takes unexpected turn', 'personality poses dangers', 'time place secret', 'allows mind literally', 'patients experience method', 'poses dangers threaten', 'coma means', 'mind literally', 'method takes unexpected', 'desperate favor', 'time explore', 'hours slowly drowned', 'method takes', 'women time place', 'ask desperate', 'revolutionary new', 'just tracked', 'kept hours', 'literally enter', 'area kept'];False;serial killer;0.4692436456680298
124;Saw;7.418;2004-10-01;en;tt0387564;Horror, Mystery, Thriller;Waking up in a bathroom, two men, Adam and Dr. Lawrence Gordon, discover they have been captured by the infamous Jigsaw Killer. The men must escape before time runs out, otherwise, they will face the deadly consequences.;$56,000,369;104045735;['jigsaw killer men', 'infamous jigsaw killer', 'killer men escape', 'jigsaw killer', 'captured infamous jigsaw', 'gordon discover captured', 'infamous jigsaw', 'dr lawrence gordon', 'bathroom men adam', 'killer men', 'lawrence gordon', 'lawrence gordon discover', 'men escape time', 'gordon discover', 'men adam dr', 'men adam', 'waking bathroom men', 'discover captured infamous', 'men escape', 'adam dr lawrence', 'captured infamous', 'adam dr', 'bathroom men', 'discover captured', 'escape time', 'dr lawrence', 'waking bathroom', 'escape time runs', 'deadly consequences', 'face deadly consequences', 'runs face deadly', 'face deadly', 'time runs', 'time runs face', 'runs face'];False;serial killer;0.37285301089286804
125;Ouija;5.133;2014-10-24;en;tt1204977;Horror, Mystery, Thriller;A girl is mysteriously killed after recording herself playing with an ancient Ouija Board, which leads to a close group of friends to investigate this board. They later find out that some things aren't meant to be played with, especially the 'other side'.;$50,856,010;103600000;['playing ancient ouija', 'ouija board', 'ancient ouija board', 'ancient ouija', 'girl mysteriously killed', 'ouija board leads', 'girl mysteriously', 'mysteriously killed recording', 'killed recording playing', 'mysteriously killed', 'killed recording', 'friends investigate board', 'investigate board', 'recording playing ancient', 'investigate board later', 'playing ancient', 'recording playing', 'friends investigate', 'group friends investigate', 'board later things', 'board later', 'close group friends', 'board leads close', 'board leads', 'group friends', 'meant played', 'played especially', 'meant played especially', 'aren meant played', 'close group', 'later things', 'later things aren', 'things aren meant', 'leads close', 'things aren', 'leads close group', 'aren meant'];False;deadly game;0.3985401690006256
126;Resident Evil;6.649;2002-03-15;en;tt0120804;Action, Horror, Sci-Fi;"A virus has escaped in a secret facility called ""The Hive,"" turning the staff into hungry zombies and releasing the mutated Lab ""Animals"" that they were studying. The complex computer shuts down the base to prevent infection. The parent corporation sends in an elite military unit, where they meet Alice, who is suffering from amnesia due to exposure to nerve gas. The military team must shut down the computer and get out, fighting their way past zombies, mutants, and the computer itself, before the virus escapes and infects the rest of the world. Alice must also come to terms with her slowly-returning memories.";$40,119,709;102984862;['zombies mutants computer', 'alice suffering amnesia', 'called hive turning', 'called hive', 'team shut computer', 'staff hungry zombies', 'hive turning staff', 'hive turning', 'zombies releasing mutated', 'virus escapes', 'facility called hive', 'zombies releasing', 'virus escaped secret', 'hungry zombies releasing', 'past zombies', 'way past zombies', 'mutants computer virus', 'past zombies mutants', 'escaped secret facility', 'hungry zombies', 'escapes infects', 'complex computer shuts', 'unit meet alice', 'secret facility called', 'mutants computer', 'military team shut', 'shut computer', 'computer virus', 'complex computer', 'meet alice suffering', 'shut computer fighting', 'computer shuts base', 'military team', 'military unit', 'infection parent corporation', 'escapes infects rest', 'computer fighting', 'suffering amnesia', 'infects rest', 'releasing mutated lab', 'infection parent', 'releasing mutated', 'shuts base', 'elite military unit', 'team shut', 'world alice come', 'escaped secret', 'rest world alice', 'nerve gas military', 'military unit meet', 'amnesia exposure nerve', 'sends elite military', 'shuts base prevent', 'returning memories', 'alice come terms', 'staff hungry', 'unit meet', 'facility called', 'gas military', 'corporation sends elite', 'mutated lab animals', 'turning staff', 'nerve gas', 'prevent infection', 'corporation sends', 'parent corporation', 'base prevent', 'slowly returning', 'studying complex', 'fighting way', 'rest world', 'come terms', 'animals studying', 'way past', 'terms slowly returning'];False;mysterious illness;0.4133327603340149
127;My Bloody Valentine;5.576;2009-01-16;en;tt1179891;Horror, Mystery, Thriller;In the mining town of Harmony, a drilling accident is caused by the son of the owner, Tom Hanniger. The mine collapses, burying six miners alive. The rescue team finds only Harry Warden alive, but in coma, and the other miners murdered by his pickax, and they conclude that Harry killed them to save oxygen for himself. On Valentine's Day, Harry awakes from his coma in the local hospital, and he kills twenty-two people, including a group of teenagers that are partying in the mine. Harry is killed by the deputy, but the only survivors are Tom Hanniger, his girlfriend Sarah, their friend Axel Palmer and his girlfriend Irene. Ten years later, Tom returns to Harmony after the death of his father. Tom has decided to sell the Hanniger Mine, and finds that Sarah has married Axel, who is now the local sheriff, and they have a son named Noah. On Valentine's Day, Harry Warden also returns, seeking revenge against those that had escaped his pickax in the past, and Tom is accused by Axel and other locals, who in turn makes accusations against Axel.;$51,545,952;102836002;['harry killed', 'coma miners murdered', 'miners alive rescue', 'miners murdered', 'miners murdered pickax', 'harry warden alive', 'partying harry killed', 'day harry warden', 'tom returns harmony', 'miners alive', 'survivors tom hanniger', 'finds harry warden', 'alive coma miners', 'tom hanniger collapses', 'harry killed deputy', 'tom hanniger girlfriend', 'day harry awakes', 'valentine day harry', 'hanniger collapses burying', 'returns harmony death', 'warden alive coma', 'team finds harry', 'mining town harmony', 'harmony death father', 'save oxygen valentine', 'harry awakes coma', 'harmony drilling accident', 'owner tom hanniger', 'deputy survivors tom', 'burying miners', 'hanniger finds sarah', 'tom accused axel', 'killed save oxygen', 'later tom returns', 'father tom decided', 'conclude harry', 'killed deputy survivors', 'named noah valentine', 'town harmony drilling', 'tom decided sell', 'partying harry', 'pickax past tom', 'sell hanniger finds', 'sarah friend axel', 'collapses burying', 'owner tom', 'warden returns', 'friend axel palmer', 'rescue team finds', 'married axel', 'hospital kills', 'kills people including', 'palmer girlfriend irene', 'alive rescue', 'revenge escaped pickax', 'seeking revenge', 'death father', 'finds sarah married', 'son owner', 'caused son', 'irene years', 'pickax conclude', 'axel locals turn', 'team finds', 'son named', 'accident caused', 'turn makes', 'local sheriff', 'people including', 'decided sell', 'makes accusations', 'teenagers partying', 'returns seeking', 'coma local', 'years later'];False;halloween night;0.3676145672798157
