title,release_date,budget,revenue,roi,vote_average,vote_count,runtime,genres,avg_trend_before,max_trend_before,peak_date_before,avg_trend_after,max_trend_after
The Pirates! In an Adventure with Scientists!,2012-03-12,60000000,123054041,2.05,6.519,1185,88,"Animation, Adventure, Family, Comedy",,,,,
Looper,2012-09-26,30000000,47042000,1.57,6.902,10739,118,"Action, Thriller, Science Fiction",,,,,
Total Recall,2012-08-02,125000000,198800000,1.59,6.026,5793,118,"Action, Science Fiction, Thriller",,,,43.0,100.0
The Campaign,2012-08-09,95000000,104907746,1.1,5.835,1847,85,Comedy,,,,3.12,100.0
The Raid,2012-03-22,1100000,9148519,8.32,7.398,3776,101,"Action, Thriller, Crime",,,,,
One for the Money,2012-01-26,40000000,36893721,0.92,5.554,1000,91,"Action, Comedy, Crime",,,,,
Step Up Revolution,2012-07-26,33000000,140470746,4.26,6.913,2107,99,"Music, Drama, Romance",,,,,
Dark Shadows,2012-05-09,150000000,245527149,1.64,6.096,7546,113,"Comedy, Fantasy",,,,,
American Reunion,2012-04-04,50000000,234989584,4.7,6.3,4646,114,Comedy,,,,37.26,100.0
The Hunt,2012-10-25,3800000,18300000,4.82,8.097,4638,116,Drama,1.62,100.0,2012-05-27,11.25,100.0
The Cold Light of Day,2012-04-04,20000000,16863583,0.84,5.384,973,93,"Action, Thriller, Mystery",,,,11.68,100.0
Killing Them Softly,2012-07-30,15000000,37930465,2.53,6.022,2359,97,"Crime, Thriller",,,,,
Salmon Fishing in the Yemen,2012-03-09,14400000,34564651,2.4,6.422,937,107,"Drama, Romance, Comedy",,,,,
Silent Hill: Revelation 3D,2012-10-10,20000000,55975672,2.8,5.545,1820,94,"Thriller, Horror, Mystery",,,,,
The Grey,2012-01-26,25000000,79781695,3.19,6.569,4060,117,"Action, Adventure, Drama, Thriller",,,,,
The Lorax,2012-03-01,70000000,349305397,4.99,6.522,3814,86,"Animation, Family",,,,,
Act of Valor,2012-02-24,12000000,82499399,6.87,6.518,1219,110,"Action, Thriller, War",,,,,
Seeking a Friend for the End of the World,2012-06-22,10000000,9636289,0.96,6.563,2222,101,"Comedy, Drama, Romance, Adventure",,,,,
Wrath of the Titans,2012-03-28,150000000,301970083,2.01,5.757,4450,99,"Fantasy, Adventure, Action",,,,,
What to Expect When You're Expecting,2012-05-17,40000000,79700000,1.99,5.999,1840,110,"Romance, Comedy, Drama",,,,,
