adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,budget,revenue,runtime,genres
False,/bZsATFS6wg6L45ele7Ve4ogGkUT.jpg,"[14, 18, 27]",60898,cn,聊齋艷譚,"After one thousand years, three vixens transform into humans. They seduce a poor young scholar who soon finds himself in a horrifying situation.",13.1885,/fTUCwsxVoLFuodAtlL6aITP1B45.jpg,1990-05-19,Erotic Ghost Story,False,6.161,93,0.0,0.0,88.0,"['Fantasy', 'Drama', 'Horror']"
False,,[18],1239731,sk,Tajomstvá pod viečkami,,3.8488,,1990-01-01,Tajomstvá pod viečkami,False,0.0,0,0.0,0.0,0.0,['Drama']
False,,[],1248592,fr,François Morellet,,8.4254,,1990-01-01,François Morellet,False,0.0,0,0.0,0.0,0.0,[]
False,/8GGAXEXaTPMDGa0sCPyFcitvlD9.jpg,"[878, 28, 53]",169,en,Predator 2,A police chief in the war-torn streets of Los Angeles discovers that an extraterrestrial creature is hunting down residents - and that he is the next target.,7.8412,/83X4VwY9sdSJykskmsplIVG0a4h.jpg,1990-11-21,Predator 2,False,6.293,3733,35000000.0,57120318.0,108.0,"['Science Fiction', 'Action', 'Thriller']"
False,/cDtefl7KGnKrDziEUXetMnztvqr.jpg,"[28, 53]",1573,en,Die Hard 2,"One year after his heroics in Los Angeles, John McClane is an off-duty cop who is the wrong guy in the wrong place at the wrong time. On a snowy Christmas Eve, as he waits for his wife's plane to land at Washington Dulles International Airport, terrorists take over the air traffic control system in a plot to free a South American army general and drug smuggler being flown into the US to face drug charges. It's now up to McClane to take on the terrorists, while coping with an inept airport police chief, an uncooperative anti-terrorist squad, and the life of his wife and everyone else trapped in planes circling overhead.",7.5305,/ybki0UWO3OPhaM6MSniuKC7sy1R.jpg,1990-07-03,Die Hard 2,False,6.966,6282,70000000.0,240031094.0,124.0,"['Action', 'Thriller']"
False,/ojVlJoGsysPmdmLrIbGW7ljn7JH.jpg,"[27, 28, 878, 35]",9362,en,Tremors,"Val McKee and Earl Bassett are in a fight for their lives when they discover that their desolate town has been infested with gigantic, man-eating creatures that live below the ground.",8.6093,/cA4ggkZ3r1d5r9hOAUWC8x5ul2i.jpg,1990-01-19,Tremors,False,6.931,3491,11000000.0,48572000.0,96.0,"['Horror', 'Action', 'Science Fiction', 'Comedy']"
False,/rW6Vtqe9uD7yZUwpQGTN8wloy52.jpg,"[27, 28]",84635,en,Vampire Cop,"Police officer Lucas only works at night. He also knows how to take a bite out of crime – literally. But when the vampire cop bites the city's reigning drug boss, he inadvertently creates a nemesis as powerful as himself.",14.0543,/aWfnHSJtLjNbOoz6ssTSpV158tX.jpg,1990-01-01,Vampire Cop,False,3.136,11,0.0,0.0,89.0,"['Horror', 'Action']"
False,/5jCpCFrku6wmCZOYZWhHOC2j8IU.jpg,"[28, 53]",1669,en,The Hunt for Red October,"A new technologically-superior Soviet nuclear sub, the Red October, is heading for the U.S. coast under the command of Captain Marko Ramius. The American government thinks Ramius is planning to attack. Lone CIA analyst Jack Ryan has a different idea: he thinks Ramius is planning to defect, but he has only a few hours to find him and prove it - because the entire Russian naval and air commands are trying to find Ramius, too. The hunt is on!",7.7302,/yVl7zidse4KiWtGMqHFtZCx4X3N.jpg,1990-03-02,The Hunt for Red October,False,7.4,3556,30000000.0,200512643.0,135.0,"['Action', 'Thriller']"
False,,[18],1528561,cs,Osmý div světa,,3.4007,,1990-03-28,Osmý div světa,False,1.0,1,0.0,0.0,0.0,['Drama']
False,/p3rU3IGrpNhS6uql7WIfHjkavah.jpg,"[878, 18, 9648]",337002,hu,Meteo,"Eckermann (Laszlo Kistamas) is a listless computer whiz who spends most of his time lounging in a bathtub holding imaginary conversations with cartoon characters usually more popular with children than grownups. He has some friends who want to use his skills to steal some money from a local gambling joint. He works out a scheme for his friends and returns to his tub. At some point along the way, he is joined in the water by a lovely Czech refugee, who (perhaps inadvertently) makes it possible for him to die there.",9.2763,/oubOjDkUJrVCfwk1dOahOp1UNTG.jpg,1990-02-22,Meteo,False,6.8,11,0.0,0.0,98.0,"['Science Fiction', 'Drama', 'Mystery']"
