title,release_date,budget,revenue,runtime,genres,release_year
Illicit Lovers,2000-04-05,0.0,0.0,88.0,"['Comedy', 'Drama', 'Romance']",2000
Bedazzled,2000-10-19,48000000.0,90383208.0,93.0,"['Fantasy', 'Comedy', 'Romance']",2000
Marine Life,2000-09-15,0.0,0.0,95.0,"['Comedy', 'Drama']",2000
Ants in the Pants,2000-03-29,0.0,0.0,95.0,"['Comedy', 'Romance']",2000
Space Kid,2000-03-24,0.0,0.0,51.0,['Science Fiction'],2000
Requiem for a Dream,2000-10-06,4500000.0,7390108.0,102.0,"['Crime', 'Drama']",2000
Traffic,2000-12-27,48000000.0,207500000.0,147.0,"['Thriller', 'Drama', 'Crime']",2000
The Perfect Storm,2000-06-29,130000000.0,328718434.0,130.0,"['Drama', 'Adventure', 'Action']",2000
Hellraiser: Inferno,2000-10-31,2000000.0,0.0,100.0,"['Horror', 'Thriller']",2000
Encore,2000-01-01,0.0,0.0,108.0,['Music'],2000
Moonfish,2000-09-29,0.0,0.0,124.0,['Drama'],2000
The Beach,2000-02-03,40000000.0,144056873.0,119.0,"['Drama', 'Adventure', 'Romance', 'Thriller']",2000
Shabdavedhi,2000-01-02,0.0,0.0,165.0,"['Crime', 'Drama']",2000
Battle Royale,2000-12-16,4500000.0,30600000.0,113.0,"['Drama', 'Thriller', 'Action']",2000
Lady Audley's Secret,2000-05-17,0.0,0.0,108.0,['Drama'],2000
Joseph: King of Dreams,2000-11-07,0.0,0.0,74.0,"['Family', 'Animation', 'Drama']",2000
Muri Romani,2000-10-14,0.0,0.0,80.0,['Documentary'],2000
Blue Murder,2000-02-23,0.0,0.0,100.0,"['Crime', 'Drama']",2000
Shanghai Noon,2000-05-26,55000000.0,99274467.0,110.0,"['Adventure', 'Action', 'Comedy', 'Western']",2000
Chinese Tea-Set,2000-01-03,0.0,0.0,98.0,"['Adventure', 'Comedy', 'TV Movie']",2000
Slečna Dušehojivá,2000-01-01,0.0,0.0,0.0,['Drama'],2000
Rhapsody,2000-10-21,0.0,0.0,0.0,"['Romance', 'Drama']",2000
The Pilgrimage of Students and Jacob,2000-09-07,0.0,0.0,0.0,['Drama'],2000
Road Trip,2000-05-19,16000000.0,119754278.0,93.0,"['Comedy', 'Adventure']",2000
Kinnara Thumbikal,2000-03-10,0.0,0.0,110.0,[],2000
Marlene,2000-03-09,0.0,2061924.0,132.0,['Drama'],2000
The Replacements,2000-08-11,50000000.0,50054511.0,118.0,['Comedy'],2000
Kannan Varuvaan,2000-05-25,0.0,0.0,140.0,"['Drama', 'Comedy', 'Family']",2000
Longitude,2000-01-02,0.0,0.0,198.0,"['TV Movie', 'Drama', 'History']",2000
Route 666,2001-10-30,2300000.0,0.0,86.0,"['Horror', 'Action', 'Thriller']",2001
The Lord of the Rings: The Fellowship of the Ring,2001-12-18,93000000.0,871368364.0,179.0,"['Adventure', 'Fantasy', 'Action']",2001
Shrek,2001-05-18,60000000.0,488628188.0,90.0,"['Animation', 'Comedy', 'Fantasy', 'Adventure', 'Family']",2001
Harry Potter and the Philosopher's Stone,2001-11-16,125000000.0,976475550.0,152.0,"['Adventure', 'Fantasy']",2001
Spirited Away,2001-07-20,19000000.0,274925095.0,125.0,"['Animation', 'Family', 'Fantasy']",2001
"Monsters, Inc.",2001-11-01,115000000.0,579700000.0,92.0,"['Animation', 'Comedy', 'Family']",2001
Scary Movie 2,2001-07-04,45000000.0,141220678.0,82.0,['Comedy'],2001
Rahul,2001-03-23,0.0,0.0,151.0,['Drama'],2001
Strawberry Estates,2001-01-01,0.0,0.0,100.0,['Horror'],2001
Shallow Hal,2001-11-01,40000000.0,141069860.0,114.0,"['Comedy', 'Romance', 'Fantasy', 'Drama']",2001
The Mummy Returns,2001-05-04,98000000.0,443280904.0,130.0,"['Adventure', 'Action', 'Fantasy']",2001
